Date,Name,Current Price,Previous,Price Change,Change %,Latest Vol,Prev Vol,Vol Change %
1-Dec-20,TVS Srichakra,1576.3,1558.2,18.1,1.16,12811,8175,0.5671
1-Dec-20,UFLEX Ltd.,361.45,349.5,11.95,3.42,263000,71021,2.7047
1-Dec-20,UFO Moviez India Ltd.,79.75,77.65,2.1,2.7,213000,145000,0.4683
1-Dec-20,Ugar Sugar Works,14.8,14.55,0.25,1.72,279000,177000,0.5793
1-Dec-20,Ultra Wiring Connectivity Systems Ltd.,26.1,25.7,0.4,1.56,8000,4000,1
1-Dec-20,Umang Dairies Ltd.,50.9,46.3,4.6,9.94,237000,9369,24.3451
1-Dec-20,Unichem Laboratories Ltd.,259.85,255.35,4.5,1.76,202000,58751,2.4544
1-Dec-20,Uniinfo Telecom Services Ltd.,16.5,15.75,0.75,4.76,6000,4000,0.5
1-Dec-20,Uniphos Enterprises,61.1,60,1.1,1.83,5123,2478,1.0674
1-Dec-20,Unitech Ltd.,1.45,1.4,0.05,3.57,1306000,937000,0.3941
1-Dec-20,United Breweries Ltd.,1088.4,1038.95,49.45,4.76,727000,628000,0.1585
1-Dec-20,Universal Cables,144.05,141.2,2.85,2.02,41418,16926,1.447
1-Dec-20,UPL Ltd.,433.05,417.7,15.35,3.67,14928000,7024000,1.1252
1-Dec-20,Usha Martin Education and Solutions,1.3,1.25,0.05,4,3800,153,23.8366
1-Dec-20,Ushanti Colour Chem Ltd.,34,30,4,13.33,8000,2000,3
1-Dec-20,UTI-Sensex Exchange Traded Fund,475.48,469.4,6.08,1.3,2339,1773,0.3192
1-Dec-20,UTISXN50 Ltd.,336.9,320,16.9,5.28,348,33,9.5455
1-Dec-20,Vardhman Textiles Ltd.,858,815.15,42.85,5.26,216000,69002,2.1401
1-Dec-20,Vaswani Industries,4.45,4.3,0.15,3.49,5005,2883,0.736
1-Dec-20,Videocon Industries Ltd.,6.3,6,0.3,5,152000,86785,0.7597
1-Dec-20,Vikas Proppant & Granite Ltd.,2.6,2.5,0.1,4,1871000,1319000,0.4182
1-Dec-20,Vimta Labs,141.85,135.1,6.75,5,52880,24616,1.1482
1-Dec-20,Vindhya Telelink,795.5,740.15,55.35,7.48,32322,13051,1.4766
1-Dec-20,Vinyl Chemicals (India),104.2,102.7,1.5,1.46,93187,52325,0.7809
1-Dec-20,Vipul Ltd.,15.85,15.3,0.55,3.59,29659,7569,2.9185
1-Dec-20,Visagar Polytex,0.45,0.4,0.05,12.5,1183000,354000,2.3347
1-Dec-20,Vishnu Chemicals,175.3,167.3,8,4.78,22105,9826,1.2496
1-Dec-20,Vodafone Idea Ltd.,10,9.8,0.2,2.04,354 M,211 M,0.6777
1-Dec-20,WABCO India,5818.9,5517.05,301.85,5.47,16388,3576,3.5828
1-Dec-20,Websol Energy System Ltd.,23.65,22.55,1.1,4.88,122000,100000,0.2254
1-Dec-20,Weizmann,33.25,32,1.25,3.91,14514,9960,0.4572
1-Dec-20,Welspun Corp Ltd.,125.65,118.1,7.55,6.39,3557000,2300000,0.5465
1-Dec-20,Welspun Enterprises Ltd.,82.7,81.5,1.2,1.47,113000,84923,0.3397
1-Dec-20,Wendt (India),3252.95,3177.6,75.35,2.37,393,205,0.9171
1-Dec-20,Wonderla Holidays Ltd.,194.65,181.1,13.55,7.48,170000,80308,1.1183
1-Dec-20,WS Industries,3.05,2.95,0.1,3.39,817,658,0.2416
1-Dec-20,Zenith Exports,46.9,45.4,1.5,3.3,7392,1580,3.6785
1-Dec-20,Zodiac Energy Ltd.,13.55,12.95,0.6,4.63,12000,8000,0.5
1-Dec-20,Zodiac-JRD-MKJ,24.6,23.95,0.65,2.71,4381,1374,2.1885
1-Dec-20,Zuari Agro Chemicals,88.45,86.8,1.65,1.9,41511,30838,0.3461
2-Dec-20,3M India Ltd.,22420.1,21945.4,474.7,2.16,13083,10241,0.2775
2-Dec-20,Aarti Drugs,717,705.05,11.95,1.69,854000,396000,1.1569
2-Dec-20,Aarti Industries Ltd.,1178.6,1156.95,21.65,1.87,390000,270000,0.4452
2-Dec-20,Aarti Surfactants Ltd.,1154.85,1099.9,54.95,5,150000,33915,3.4263
2-Dec-20,Aarvi Encon Ltd.,41.35,40,1.35,3.38,28113,1663,15.905
2-Dec-20,Adani Enterprises Ltd.,453.75,421.9,31.85,7.55,16821000,7846000,1.1439
2-Dec-20,Adani Ports & Special Economic Zone Ltd.,438.2,423.8,14.4,3.4,13049000,9170000,0.423
2-Dec-20,Adani Power Limited,45.15,41.05,4.1,9.99,38840000,27763000,0.399
2-Dec-20,Adani Transmission Ltd.,419.2,378.95,40.25,10.62,4614000,533000,7.6455
2-Dec-20,Advani Hotels and Resorts (India),58.35,56.2,2.15,3.83,79648,52352,0.5214
2-Dec-20,Affle (India) Ltd.,3768.85,3589.4,179.45,5,185000,91844,1.017
2-Dec-20,Agarwal Industrial Corporation Ltd.,89.8,86.3,3.5,4.06,36335,18461,0.9682
2-Dec-20,AGC Networks,618,606.6,11.4,1.88,18310,7820,1.3414
2-Dec-20,AIA Engineering Ltd.,2113,1883.8,229.2,12.17,218000,23324,8.3855
2-Dec-20,Airan Ltd.,18.35,16.9,1.45,8.58,660000,117000,4.6069
2-Dec-20,Ajmera Realty & Infra India Ltd.,123.3,107.45,15.85,14.75,1375000,696000,0.9753
2-Dec-20,Akash Infraprojects Ltd.,223.45,215.25,8.2,3.81,15998,9990,0.6014
2-Dec-20,AKG Exim Ltd.,56.75,54.1,2.65,4.9,88000,12000,6.3333
2-Dec-20,Alkyl Amines Chemicals Ltd.,4116.05,3967.1,148.95,3.75,71854,50004,0.437
